symbol,entry_date,exit_date,entry,target,stop,exit,pnl_pct,days,result
IGL,2023-04-05,2023-04-17,209.22,230.14,198.76,230.14,10.0,6,TARGET
TITAGARH,2023-04-03,2023-04-19,276.39,304.03,262.57,304.03,10.0,9,TARGET
GLENMARK,2023-04-03,2023-04-27,476.25,523.87,452.44,523.87,10.0,15,TARGET
CHOLAFIN,2023-04-03,2023-04-27,775.21,852.74,736.45,852.74,10.0,15,TARGET
BAJAJ-AUTO,2023-04-03,2023-04-27,3748.94,4123.84,3561.5,4123.84,10.0,15,TARGET
GLENMARK,2023-04-27,2023-05-12,547.41,602.15,520.04,602.15,10.0,10,TARGET
SYNGENE,2023-04-27,2023-05-12,646.39,711.03,614.07,711.03,10.0,10,TARGET
GLENMARK,2023-05-12,2023-05-22,608.79,669.67,578.35,578.35,-5.0,6,STOP
TITAGARH,2023-04-20,2023-05-25,330.56,363.62,314.04,363.62,10.0,24,TARGET
NHPC,2023-04-27,2023-05-25,41.72,45.89,39.63,39.63,-5.0,19,STOP
KPITTECH,2023-05-25,2023-06-02,1004.91,1105.41,954.67,1105.41,10.0,6,TARGET
ABCAPITAL,2023-04-17,2023-06-13,164.65,181.11,156.42,181.11,10.0,40,TARGET
MUTHOOTFIN,2023-05-22,2023-06-21,1094.69,1204.15,1039.95,1204.15,10.0,22,TARGET
BAJAJ-AUTO,2023-05-25,2023-07-13,4359.34,4795.27,4141.37,4795.27,10.0,34,TARGET
POWERGRID,2023-06-21,2023-07-13,171.5,188.65,162.93,162.93,-5.0,15,STOP
ICICIPRULI,2023-07-13,2023-07-18,596.79,656.47,566.95,566.95,-5.0,3,STOP
POLYCAB,2023-07-18,2023-07-20,4086.37,4495.0,3882.05,4495.0,10.0,2,TARGET
SUPREMEIND,2023-07-13,2023-07-24,3322.25,3654.47,3156.14,3654.47,10.0,7,TARGET
HDFCAMC,2023-07-20,2023-08-03,1215.3,1336.83,1154.53,1154.53,-5.0,10,STOP
OFSS,2023-06-13,2023-09-05,3512.74,3864.01,3337.1,3864.01,10.0,58,TARGET
HAVELLS,2023-05-12,2023-09-08,1282.18,1410.4,1218.07,1410.4,10.0,83,TARGET
DLF,2023-06-02,2023-09-08,479.2,527.13,455.24,527.13,10.0,68,TARGET
NHPC,2023-07-24,2023-09-11,46.42,51.06,44.1,51.06,10.0,34,TARGET
CDSL,2023-09-05,2023-09-11,602.21,662.44,572.1,662.44,10.0,4,TARGET
RECLTD,2023-09-08,2023-09-12,240.69,264.76,228.65,228.65,-5.0,2,STOP
LODHA,2023-09-08,2023-09-13,765.33,841.86,727.06,727.06,-5.0,3,STOP
OFSS,2023-09-11,2023-09-13,4066.87,4473.55,3863.52,3863.52,-5.0,2,STOP
NHPC,2023-09-14,2023-09-20,52.47,57.72,49.85,49.85,-5.0,3,STOP
GLENMARK,2023-09-13,2023-09-22,856.06,941.66,813.25,813.25,-5.0,6,STOP
NMDC,2023-09-14,2023-09-22,44.88,49.36,42.63,42.63,-5.0,5,STOP
TECHM,2023-09-22,2023-09-28,1221.31,1343.44,1160.25,1160.25,-5.0,4,STOP
HUDCO,2023-09-22,2023-10-04,80.69,88.76,76.65,88.76,10.0,7,TARGET
CHOLAFIN,2023-09-28,2023-10-25,1215.24,1336.76,1154.48,1154.48,-5.0,17,STOP
TCS,2023-10-05,2023-10-25,3334.22,3667.64,3167.51,3167.51,-5.0,13,STOP
PRESTIGE,2023-10-25,2023-11-08,756.25,831.88,718.44,831.88,10.0,10,TARGET
HDFCAMC,2023-09-11,2023-11-17,1284.62,1413.08,1220.39,1413.08,10.0,45,TARGET
ALKEM,2023-11-08,2023-11-30,4128.05,4540.85,3921.65,4540.85,10.0,14,TARGET
MRF,2023-08-03,2023-12-07,106644.84,117309.32,101312.59,117309.32,10.0,84,TARGET
MARUTI,2023-09-22,2023-12-15,10324.82,11357.31,9808.58,9808.58,-5.0,56,STOP
BALKRISIND,2023-10-25,2023-12-20,2553.83,2809.21,2426.14,2426.14,-5.0,38,STOP
NHPC,2023-12-07,2023-12-20,60.31,66.34,57.29,57.29,-5.0,9,STOP
VBL,2023-12-20,2023-12-21,499.09,549.0,474.14,474.14,-5.0,1,STOP
HINDCOPPER,2023-12-22,2023-12-28,224.43,246.87,213.21,246.87,10.0,3,TARGET
ICICIGI,2023-11-17,2024-01-03,1426.77,1569.45,1355.44,1355.44,-5.0,31,STOP
OIL,2023-12-20,2024-01-15,224.18,246.59,212.97,246.59,10.0,17,TARGET
HINDCOPPER,2023-12-28,2024-01-15,267.66,294.43,254.28,254.28,-5.0,12,STOP
MUTHOOTFIN,2023-11-30,2024-01-18,1442.99,1587.29,1370.84,1370.84,-5.0,34,STOP
LTIM,2023-12-15,2024-01-18,5977.01,6574.71,5678.16,5678.16,-5.0,23,STOP
OFSS,2024-01-15,2024-01-18,4690.33,5159.36,4455.81,5159.36,10.0,3,TARGET
OIL,2024-01-15,2024-01-18,246.49,271.14,234.17,234.17,-5.0,3,STOP
BHEL,2024-01-19,2024-01-23,221.6,243.76,210.52,210.52,-5.0,1,STOP
LTF,2024-01-03,2024-01-24,161.28,177.41,153.22,153.22,-5.0,14,STOP
NHPC,2024-01-23,2024-01-25,71.29,78.42,67.72,78.42,10.0,2,TARGET
OIL,2024-01-18,2024-01-30,245.84,270.43,233.55,270.43,10.0,6,TARGET
INDUSTOWER,2024-01-24,2024-02-01,229.95,252.94,218.45,218.45,-5.0,5,STOP
APOLLOTYRE,2024-01-18,2024-02-05,485.76,534.33,461.47,534.33,10.0,10,TARGET
OFSS,2024-01-18,2024-02-08,6054.67,6660.14,5751.94,6660.14,10.0,13,TARGET
HINDCOPPER,2024-01-25,2024-02-09,279.25,307.17,265.29,265.29,-5.0,10,STOP
INDIGO,2024-02-05,2024-02-09,3165.8,3482.38,3007.51,3007.51,-5.0,4,STOP
INOXWIND,2024-02-08,2024-02-09,138.07,151.88,131.17,131.17,-5.0,1,STOP
BHEL,2024-01-30,2024-02-12,227.28,250.01,215.92,215.92,-5.0,9,STOP
HEROMOTOCO,2024-02-09,2024-02-12,4494.95,4944.45,4270.21,4270.21,-5.0,1,STOP
GODREJCP,2024-02-01,2024-02-13,1210.21,1331.24,1149.7,1149.7,-5.0,8,STOP
ETERNAL,2024-02-12,2024-03-01,153.8,169.18,146.11,169.18,10.0,14,TARGET
ACC,2024-02-09,2024-03-13,2610.04,2871.04,2479.53,2479.53,-5.0,22,STOP
JINDALSTEL,2024-03-01,2024-03-13,819.51,901.46,778.53,778.53,-5.0,7,STOP
HCLTECH,2024-02-12,2024-03-20,1551.08,1706.19,1473.53,1473.53,-5.0,26,STOP
SOLARINDS,2024-03-15,2024-03-20,8843.65,9728.01,8401.47,8401.47,-5.0,3,STOP
SIEMENS,2024-03-21,2024-04-01,2890.97,3180.07,2746.43,3180.07,10.0,5,TARGET
HINDCOPPER,2024-04-01,2024-04-09,306.88,337.57,291.54,337.57,10.0,6,TARGET
CUMMINSIND,2024-03-20,2024-04-12,2723.04,2995.34,2586.89,2995.34,10.0,14,TARGET
IRCTC,2024-04-12,2024-04-18,1028.97,1131.86,977.52,977.52,-5.0,3,STOP
PIDILITIND,2024-03-22,2024-04-19,1462.56,1608.81,1389.43,1389.43,-5.0,16,STOP
HINDCOPPER,2024-04-09,2024-04-26,354.92,390.41,337.17,390.41,10.0,11,TARGET
DMART,2024-04-19,2024-04-29,4696.0,5165.6,4461.2,4461.2,-5.0,6,STOP
CONCOR,2024-04-26,2024-05-07,1036.42,1140.07,984.6,984.6,-5.0,6,STOP
HDFCAMC,2024-02-13,2024-05-13,1815.51,1997.06,1724.73,1724.73,-5.0,58,STOP
JINDALSTEL,2024-04-18,2024-05-15,902.17,992.39,857.06,992.39,10.0,18,TARGET
CUMMINSIND,2024-05-13,2024-05-21,3423.39,3765.73,3252.22,3765.73,10.0,5,TARGET
ICICIBANK,2024-04-29,2024-05-22,1141.44,1255.58,1084.37,1084.37,-5.0,15,STOP
VEDL,2024-05-21,2024-05-23,417.54,459.29,396.66,396.66,-5.0,2,STOP
SUNPHARMA,2024-02-09,2024-05-28,1506.01,1656.61,1430.71,1430.71,-5.0,70,STOP
LODHA,2024-05-22,2024-06-03,1306.0,1436.59,1240.7,1436.59,10.0,8,TARGET
ADANIPORTS,2024-05-23,2024-06-03,1430.23,1573.25,1358.71,1573.25,10.0,7,TARGET
TITAGARH,2024-05-29,2024-06-03,1396.88,1536.56,1327.03,1536.56,10.0,3,TARGET
CGPOWER,2024-05-15,2024-06-04,638.82,702.7,606.88,606.88,-5.0,13,STOP
CONCOR,2024-06-03,2024-06-04,1139.53,1253.49,1082.56,1082.56,-5.0,1,STOP
POWERGRID,2024-06-03,2024-06-04,315.98,347.58,300.18,300.18,-5.0,1,STOP
PFC,2024-06-03,2024-06-04,513.14,564.45,487.48,487.48,-5.0,1,STOP
GODREJCP,2024-05-07,2024-06-05,1275.62,1403.18,1211.84,1403.18,10.0,20,TARGET
MARICO,2024-06-05,2024-06-13,635.75,699.33,603.97,603.97,-5.0,6,STOP
GODREJCP,2024-06-05,2024-06-21,1386.74,1525.41,1317.4,1317.4,-5.0,11,STOP
ESCORTS,2024-06-21,2024-07-01,4256.75,4682.42,4043.91,4043.91,-5.0,6,STOP
OFSS,2024-07-01,2024-07-16,9726.8,10699.48,9240.46,10699.48,10.0,11,TARGET
HEROMOTOCO,2024-06-05,2024-07-19,5294.94,5824.43,5030.19,5030.19,-5.0,30,STOP
GODREJPROP,2024-07-16,2024-07-22,3381.4,3719.54,3212.33,3212.33,-5.0,3,STOP
BAJAJ-AUTO,2024-06-05,2024-07-23,9289.41,10218.35,8824.94,8824.94,-5.0,32,STOP
CHOLAFIN,2024-06-13,2024-07-23,1432.34,1575.57,1360.72,1360.72,-5.0,26,STOP
DABUR,2024-07-23,2024-07-24,639.13,703.04,607.17,607.17,-5.0,1,STOP
KALYANKJIL,2024-07-24,2024-07-29,584.23,642.65,555.02,555.02,-5.0,3,STOP
OFSS,2024-07-24,2024-08-02,10599.03,11658.94,10069.08,10069.08,-5.0,7,STOP
ETERNAL,2024-08-02,2024-08-05,262.34,288.57,249.22,249.22,-5.0,1,STOP
HFCL,2024-08-07,2024-08-12,137.53,151.29,130.66,130.66,-5.0,3,STOP
GLENMARK,2024-08-12,2024-08-16,1496.68,1646.35,1421.85,1421.85,-5.0,3,STOP
TORNTPHARM,2024-07-23,2024-08-30,3087.32,3396.06,2932.96,3396.06,10.0,27,TARGET
INDUSTOWER,2024-08-30,2024-09-02,458.5,504.35,435.57,435.57,-5.0,1,STOP
