symbol,entry_date,exit_date,entry,target,stop,exit,pnl_pct,days,result
TITAGARH,2023-04-03,2023-04-20,276.39,331.67,248.75,331.67,20.0,10,TARGET
CHOLAFIN,2023-04-03,2023-05-04,775.21,930.26,697.69,930.26,20.0,19,TARGET
GLENMARK,2023-04-03,2023-05-11,476.25,571.5,428.62,571.5,20.0,24,TARGET
TITAGARH,2023-04-20,2023-06-07,330.56,396.68,297.51,396.68,20.0,33,TARGET
BAJAJ-AUTO,2023-04-03,2023-06-08,3748.94,4498.73,3374.05,4498.73,20.0,44,TARGET
ABB,2023-05-04,2023-06-19,3593.99,4312.79,3234.59,4312.79,20.0,32,TARGET
TITAGARH,2023-06-19,2023-07-19,466.29,559.55,419.66,559.55,20.0,21,TARGET
KEI,2023-07-19,2023-08-01,2554.85,3065.82,2299.37,2299.37,-10.0,9,STOP
PAYTM,2023-06-08,2023-08-24,772.0,926.4,694.8,926.4,20.0,53,TARGET
OFSS,2023-05-11,2023-09-07,3283.66,3940.39,2955.29,3940.39,20.0,83,TARGET
MPHASIS,2023-08-24,2023-10-20,2364.54,2837.45,2128.09,2128.09,-10.0,39,STOP
IGL,2023-04-05,2023-10-23,209.22,251.06,188.29,188.29,-10.0,136,STOP
AMBER,2023-10-20,2023-10-23,3036.6,3643.92,2732.94,2732.94,-10.0,1,STOP
CDSL,2023-08-01,2023-11-01,603.12,723.75,542.81,723.75,20.0,62,TARGET
BSE,2023-10-23,2023-11-08,564.15,676.98,507.74,676.98,20.0,11,TARGET
PRESTIGE,2023-10-25,2023-11-16,756.25,907.5,680.63,907.5,20.0,15,TARGET
HEROMOTOCO,2023-06-07,2023-11-23,2678.46,3214.15,2410.61,3214.15,20.0,115,TARGET
LT,2023-09-07,2023-12-08,2798.1,3357.72,2518.29,3357.72,20.0,61,TARGET
BSOFT,2023-11-01,2023-12-14,555.77,666.92,500.19,666.92,20.0,29,TARGET
HINDCOPPER,2023-12-08,2023-12-22,184.42,221.3,165.98,221.3,20.0,10,TARGET
CHAMBLFERT,2023-11-16,2023-12-26,297.91,357.49,268.12,357.49,20.0,26,TARGET
ALKEM,2023-11-08,2023-12-27,4128.05,4953.66,3715.24,4953.66,20.0,32,TARGET
HEROMOTOCO,2023-11-23,2024-01-11,3267.16,3920.59,2940.44,3920.59,20.0,33,TARGET
BSOFT,2023-12-14,2024-01-25,682.59,819.11,614.33,819.11,20.0,28,TARGET
NMDC,2023-12-26,2024-02-05,60.31,72.37,54.28,72.37,20.0,27,TARGET
DLF,2023-12-22,2024-02-16,706.71,848.05,636.04,848.05,20.0,37,TARGET
EXIDEIND,2024-01-11,2024-03-13,335.84,403.0,302.25,302.25,-10.0,41,STOP
ULTRACEMCO,2023-12-27,2024-04-16,10309.23,12371.07,9278.3,9278.3,-10.0,73,STOP
TVSMOTOR,2024-02-16,2024-04-19,2114.14,2536.97,1902.73,1902.73,-10.0,40,STOP
AMBUJACEM,2024-01-25,2024-06-03,556.43,667.71,500.78,667.71,20.0,84,TARGET
SOLARINDS,2024-03-15,2024-06-04,8843.65,10612.38,7959.28,7959.28,-10.0,51,STOP
INDUSTOWER,2024-04-18,2024-06-04,344.4,413.28,309.96,309.96,-10.0,31,STOP
HAL,2024-06-03,2024-06-04,5160.94,6193.13,4644.85,4644.85,-10.0,1,STOP
LUPIN,2024-02-05,2024-07-30,1556.6,1867.92,1400.94,1867.92,20.0,117,TARGET
HEROMOTOCO,2024-06-05,2024-08-14,5294.94,6353.93,4765.45,4765.45,-10.0,48,STOP
TVSMOTOR,2024-06-05,2024-08-30,2333.93,2800.72,2100.54,2800.72,20.0,59,TARGET
POLICYBZR,2024-08-14,2024-09-19,1574.05,1888.86,1416.65,1888.86,20.0,25,TARGET
INDUSTOWER,2024-08-30,2024-09-19,458.5,550.2,412.65,412.65,-10.0,14,STOP
