symbol,entry_date,exit_date,entry,target,stop,exit,pnl_pct,days,result
MARUTI,2023-06-02,2023-09-25,9209.32,10498.62,8564.67,10498.62,14.0,78,TARGET
TECHM,2023-09-22,2023-09-29,1221.31,1392.3,1135.82,1135.82,-7.0,5,STOP
PNB,2023-09-25,2023-10-09,77.03,87.82,71.64,71.64,-7.0,9,STOP
BSOFT,2023-08-17,2023-10-10,455.01,518.71,423.16,518.71,14.0,36,TARGET
HUDCO,2023-09-22,2023-10-19,80.69,91.99,75.04,75.04,-7.0,18,STOP
ADANIPORTS,2023-08-18,2023-10-23,828.3,944.26,770.32,770.32,-7.0,44,STOP
HINDALCO,2023-09-29,2023-10-23,486.28,554.35,452.24,452.24,-7.0,15,STOP
BSE,2023-10-23,2023-10-26,564.15,643.13,524.66,524.66,-7.0,2,STOP
PRESTIGE,2023-10-25,2023-11-09,756.25,862.13,703.32,862.13,14.0,11,TARGET
BSOFT,2023-10-10,2023-11-15,521.8,594.85,485.27,594.85,14.0,24,TARGET
HEROMOTOCO,2023-10-19,2023-11-29,2990.49,3409.15,2781.15,3409.15,14.0,26,TARGET
CDSL,2023-11-09,2023-12-04,831.86,948.32,773.63,948.32,14.0,15,TARGET
BSOFT,2023-11-15,2023-12-14,596.88,680.44,555.1,680.44,14.0,20,TARGET
OIL,2023-10-09,2023-12-20,191.29,218.08,177.9,218.08,14.0,49,TARGET
BEL,2023-12-04,2023-12-20,150.19,171.21,139.67,171.21,14.0,12,TARGET
HEROMOTOCO,2023-11-29,2024-01-11,3430.97,3911.31,3190.81,3911.31,14.0,30,TARGET
BSOFT,2023-12-14,2024-01-15,682.59,778.16,634.81,778.16,14.0,21,TARGET
EXIDEIND,2024-01-11,2024-01-17,335.84,382.85,312.33,312.33,-7.0,4,STOP
MARUTI,2023-10-27,2024-01-18,10349.86,11798.84,9625.37,9625.37,-7.0,56,STOP
OIL,2023-12-20,2024-01-19,224.18,255.56,208.48,255.56,14.0,21,TARGET
ONGC,2024-01-15,2024-02-05,207.32,236.34,192.81,236.34,14.0,13,TARGET
VBL,2023-12-20,2024-02-14,499.09,568.96,464.15,568.96,14.0,37,TARGET
INDHOTEL,2024-01-19,2024-02-20,479.34,546.45,445.79,546.45,14.0,20,TARGET
HINDPETRO,2024-02-14,2024-02-28,339.44,386.96,315.67,315.67,-7.0,10,STOP
POWERGRID,2024-02-20,2024-03-13,269.43,307.15,250.57,250.57,-7.0,15,STOP
TVSMOTOR,2024-03-01,2024-03-15,2216.8,2527.15,2061.62,2061.62,-7.0,9,STOP
APOLLOTYRE,2024-01-18,2024-03-18,485.76,553.76,451.75,451.75,-7.0,39,STOP
SIEMENS,2024-03-21,2024-04-03,2890.97,3295.71,2688.61,3295.71,14.0,7,TARGET
PNB,2024-04-03,2024-04-19,129.81,147.98,120.72,120.72,-7.0,10,STOP
CUMMINSIND,2024-03-20,2024-04-23,2723.04,3104.27,2532.43,3104.27,14.0,20,TARGET
MRF,2024-01-17,2024-05-06,134467.77,153293.25,125055.02,125055.02,-7.0,70,STOP
AMBUJACEM,2024-04-23,2024-05-07,632.32,720.84,588.06,588.06,-7.0,9,STOP
CDSL,2024-05-06,2024-05-10,1054.77,1202.43,980.93,980.93,-7.0,4,STOP
SOLARINDS,2024-03-15,2024-05-16,8843.65,10081.76,8224.59,8224.59,-7.0,39,STOP
CGPOWER,2024-05-07,2024-05-17,568.26,647.82,528.48,647.82,14.0,8,TARGET
ASTRAL,2024-05-17,2024-05-21,2292.03,2612.91,2131.59,2131.59,-7.0,1,STOP
HAL,2024-05-16,2024-05-24,4505.31,5136.05,4189.94,5136.05,14.0,5,TARGET
DMART,2024-04-19,2024-05-31,4696.0,5353.44,4367.28,4367.28,-7.0,28,STOP
POLYCAB,2024-05-10,2024-06-03,6093.34,6946.41,5666.81,6946.41,14.0,15,TARGET
BEL,2024-05-21,2024-06-03,270.12,307.94,251.22,307.94,14.0,9,TARGET
HAL,2024-05-24,2024-06-04,5056.23,5764.1,4702.29,4702.29,-7.0,7,STOP
HAVELLS,2024-05-31,2024-06-04,1889.39,2153.91,1757.14,1757.14,-7.0,2,STOP
AMBUJACEM,2024-06-03,2024-06-04,666.34,759.63,619.7,619.7,-7.0,1,STOP
BEL,2024-06-03,2024-06-04,313.97,357.93,291.99,291.99,-7.0,1,STOP
LUPIN,2024-02-05,2024-07-09,1556.6,1774.53,1447.64,1774.53,14.0,103,TARGET
PHOENIXLTD,2024-07-09,2024-07-22,2006.72,2287.66,1866.25,1866.25,-7.0,8,STOP
HEROMOTOCO,2024-06-05,2024-08-05,5294.94,6036.23,4924.29,4924.29,-7.0,41,STOP
TVSMOTOR,2024-06-05,2024-08-22,2333.93,2660.68,2170.56,2660.68,14.0,53,TARGET
FEDERALBNK,2024-07-23,2024-09-06,195.61,222.99,181.91,181.91,-7.0,32,STOP
MPHASIS,2024-08-22,2024-10-04,3005.59,3426.38,2795.2,2795.2,-7.0,30,STOP
HINDUNILVR,2024-09-09,2024-10-18,2835.84,3232.86,2637.34,2637.34,-7.0,28,STOP
DIXON,2024-10-08,2024-10-25,14512.54,16544.3,13496.66,13496.66,-7.0,13,STOP
MARICO,2024-06-05,2024-11-12,635.75,724.76,591.25,591.25,-7.0,110,STOP
PIIND,2024-08-07,2024-11-14,4386.8,5000.95,4079.72,4079.72,-7.0,69,STOP
PIDILITIND,2024-06-05,2024-11-21,1564.39,1783.4,1454.88,1454.88,-7.0,115,STOP
RAMCOCEM,2024-11-12,2024-12-02,908.43,1035.61,844.84,1035.61,14.0,12,TARGET
NATIONALUM,2024-11-18,2024-12-16,222.26,253.37,206.7,206.7,-7.0,19,STOP
DIXON,2024-12-02,2024-12-17,16756.44,19102.35,15583.49,19102.35,14.0,11,TARGET
PAYTM,2024-12-17,2024-12-20,1014.65,1156.7,943.62,943.62,-7.0,3,STOP
AMBER,2024-12-23,2024-12-26,6907.8,7874.89,6424.25,7874.89,14.0,2,TARGET
OBEROIRLTY,2024-12-16,2025-01-13,2239.98,2553.57,2083.18,2083.18,-7.0,19,STOP
DRREDDY,2024-12-27,2025-01-17,1380.69,1573.99,1284.04,1284.04,-7.0,15,STOP
ICICIBANK,2024-10-28,2025-01-21,1282.95,1462.56,1193.14,1193.14,-7.0,58,STOP
BSE,2025-01-15,2025-01-27,1922.6,2191.77,1788.02,1788.02,-7.0,8,STOP
LAURUSLABS,2025-01-24,2025-01-27,601.33,685.52,559.24,559.24,-7.0,1,STOP
INDHOTEL,2024-11-21,2025-02-01,784.49,894.32,729.58,729.58,-7.0,51,STOP
MARICO,2025-01-29,2025-02-12,661.7,754.34,615.39,615.39,-7.0,11,STOP
BAJFINANCE,2025-01-28,2025-02-27,756.0,861.83,703.08,861.83,14.0,22,TARGET
TECHM,2024-10-21,2025-02-28,1638.64,1868.05,1523.94,1523.94,-7.0,91,STOP
WIPRO,2025-01-23,2025-02-28,297.81,339.51,276.97,276.97,-7.0,26,STOP
MARUTI,2025-02-01,2025-02-28,12778.2,14567.14,11883.72,11883.72,-7.0,19,STOP
JSWSTEEL,2025-03-05,2025-04-07,1000.01,1140.01,930.01,930.01,-7.0,21,STOP
SRF,2025-03-07,2025-04-07,2926.11,3335.76,2721.28,2721.28,-7.0,19,STOP
KOTAKBANK,2025-02-13,2025-04-21,394.11,449.28,366.52,449.28,14.0,41,TARGET
LTF,2025-04-21,2025-04-28,168.56,192.16,156.76,156.76,-7.0,5,STOP
PNBHOUSING,2025-04-08,2025-06-06,959.21,1093.5,892.07,1093.5,14.0,39,TARGET
INDIGO,2025-03-19,2025-06-09,4972.15,5668.25,4624.1,5668.25,14.0,53,TARGET
RBLBANK,2025-06-09,2025-06-16,229.46,261.58,213.39,213.39,-7.0,5,STOP
ABCAPITAL,2025-06-06,2025-06-23,233.41,266.09,217.07,266.09,14.0,11,TARGET
BHARTIARTL,2025-04-11,2025-06-26,1742.04,1985.92,1620.09,1985.92,14.0,51,TARGET
BEL,2025-06-23,2025-07-21,418.15,476.69,388.88,388.88,-7.0,20,STOP
RELIANCE,2025-06-26,2025-07-25,1489.35,1697.86,1385.1,1385.1,-7.0,21,STOP
LAURUSLABS,2025-07-28,2025-08-07,888.52,1012.91,826.32,826.32,-7.0,8,STOP
PIIND,2025-06-16,2025-08-11,4129.56,4707.7,3840.49,3840.49,-7.0,40,STOP
AMBUJACEM,2025-07-21,2025-08-28,613.25,699.11,570.32,570.32,-7.0,26,STOP
BAJFINANCE,2025-02-27,2025-09-12,865.2,986.33,804.64,986.33,14.0,133,TARGET
DALBHARAT,2025-08-29,2025-09-26,2397.0,2732.58,2229.21,2229.21,-7.0,20,STOP
TIINDIA,2025-09-15,2025-09-26,3351.26,3820.44,3116.67,3116.67,-7.0,9,STOP
INDIANB,2025-08-11,2025-10-03,674.0,768.36,626.82,768.36,14.0,36,TARGET
CUMMINSIND,2025-08-08,2025-10-29,3789.67,4320.22,3524.39,4320.22,14.0,54,TARGET
VEDL,2025-09-30,2025-11-13,458.15,522.29,426.08,522.29,14.0,29,TARGET
HAL,2025-04-29,2025-12-08,4555.97,5193.81,4237.06,4237.06,-7.0,153,STOP
JSWSTEEL,2025-10-03,2025-12-17,1161.7,1324.34,1080.38,1080.38,-7.0,51,STOP
SHRIRAMFIN,2025-12-17,2025-12-31,864.2,985.19,803.71,985.19,14.0,9,TARGET
LTF,2025-12-31,2026-01-12,315.95,360.18,293.83,293.83,-7.0,8,STOP
VEDL,2026-01-13,2026-01-28,626.73,714.48,582.86,714.48,14.0,10,TARGET
VEDL,2026-01-28,2026-01-30,724.99,826.49,674.24,674.24,-7.0,2,STOP
MUTHOOTFIN,2025-11-14,2026-02-02,3725.6,4247.18,3464.81,3464.81,-7.0,54,STOP
IOC,2025-10-29,2026-02-06,156.27,178.15,145.33,178.15,14.0,69,TARGET
BSE,2026-02-09,2026-02-16,2985.1,3403.01,2776.14,2776.14,-7.0,5,STOP
LT,2025-09-26,2026-02-17,3729.5,4251.63,3468.43,4251.63,14.0,97,TARGET
AUBANK,2025-12-10,2026-03-02,993.7,1132.82,924.14,924.14,-7.0,56,STOP
ASHOKLEY,2026-02-03,2026-03-09,199.87,227.85,185.88,185.88,-7.0,23,STOP
UNIONBANK,2026-02-17,2026-03-09,188.89,215.33,175.67,175.67,-7.0,13,STOP
APLAPOLLO,2026-02-03,2026-03-12,2137.5,2436.75,1987.87,1987.87,-7.0,26,STOP
ONGC,2026-03-02,2026-03-16,282.2,321.71,262.45,262.45,-7.0,9,STOP
MCX,2026-03-17,2026-03-20,2671.8,3045.85,2484.77,2484.77,-7.0,3,STOP
TATAPOWER,2026-03-20,2026-03-23,402.4,458.74,374.23,374.23,-7.0,1,STOP
TORNTPHARM,2026-02-16,2026-03-30,4232.48,4825.03,3936.21,4220.2,-0.29,28,open
GLENMARK,2026-03-10,2026-03-30,2225.8,2537.41,2069.99,2131.7,-4.23,13,open
COALINDIA,2026-03-11,2026-03-30,446.75,509.3,415.48,450.45,0.83,12,open
LUPIN,2026-03-20,2026-03-30,2322.5,2647.65,2159.92,2313.9,-0.37,5,open
ONGC,2026-03-27,2026-03-30,281.95,321.42,262.21,284.65,0.96,1,open
